#IID	age	sex	PC1	PC2	PC3	PC4	PC5
SIM0303	73.45563336	0	-0.0397347	-0.0386136	0.0184411	0.0844668	0.0279268
SIM0304	33.19354971	1	0.0416444	0.000592247	0.0325965	0.0133212	0.0147893
SIM0305	56.62075289	1	-0.0397786	-0.00536323	-0.0196526	-0.0183225	-0.00244155
SIM0306	67.82215819	0	0.0403481	0.0487612	0.0472249	-0.0286448	-0.0148781
SIM0307	59.66633635	1	-0.0342855	0.028229	0.0311809	-0.0223024	-0.0367558
SIM0308	46.83478319	0	0.0401707	0.0522719	0.00155443	0.0528235	0.0888015
SIM0309	54.93492061	0	-0.0437426	-0.0343895	-0.0252291	-0.00303063	-0.0121433
SIM0310	68.58273968	1	0.0385523	0.0225764	0.0147557	0.00573009	-0.0295085
SIM0311	69.75828402	0	-0.0433388	0.0433879	-0.0304824	-0.0268768	-0.0666777
SIM0312	27.03626653	0	0.0424211	-0.0185224	0.0537519	0.00696479	0.00354615
SIM0313	57.88703558	0	-0.0406515	0.00917711	-0.00985455	-0.0358974	0.00883103
SIM0314	52.98700980	1	0.0486653	-0.00175186	-0.00210262	-0.0225791	0.00885949
SIM0315	54.28645766	1	-0.0383355	0.0179728	0.0386467	-0.0389162	-0.0508921
SIM0316	41.16719255	1	0.0378074	0.0397818	0.0223966	-0.0740657	0.0447219
SIM0317	57.86311054	0	-0.0422617	-0.0341298	0.0761002	0.0244789	-0.0584947
SIM0318	57.19960512	0	0.0398586	-0.00170001	-0.053748	0.0113891	-0.0014715
SIM0319	70.04466786	0	-0.0421282	0.0287709	-0.0114254	0.0328305	0.0316689
SIM0320	59.02132118	1	0.0458768	-0.0132681	-0.0349477	-0.0348064	-0.0329228
SIM0321	38.16685414	0	-0.0362687	-0.0460131	0.00225424	0.0363387	-0.0931614
SIM0322	47.07312085	1	0.0430878	-0.0402308	-0.0409554	-0.0367699	0.0055242
SIM0323	35.14418721	1	-0.039476	0.0409232	-0.00465451	0.0914344	0.0523465
SIM0324	45.69657505	1	0.0425786	-0.0313102	0.0658652	0.0310312	0.0239875
SIM0325	47.48620398	0	-0.036799	0.0849274	0.00222628	0.0130574	-0.0215837
SIM0326	51.61938721	0	0.0406509	-0.0471208	0.0180695	0.108441	-0.0345228
SIM0327	67.27177330	1	-0.0398567	-0.014236	0.00148612	0.0263286	0.0337036
SIM0328	29.74523641	0	0.0382414	0.00768423	0.00613006	-0.0718364	0.0156652
SIM0329	65.36243942	1	-0.036927	0.0758262	-0.00679375	0.0202723	0.00450496
SIM0330	53.36385922	1	0.0372912	-0.0272638	-0.0150136	-0.0744805	-0.0356004
SIM0331	43.45023759	1	-0.0333663	0.0483669	0.0539504	-0.0185097	-0.0486481
SIM0332	47.67951021	0	0.0411316	-0.0332154	0.0525497	0.00776812	0.030607
SIM0333	62.93977059	0	-0.0433722	-0.0737007	-0.0531297	0.00376192	-0.00466915
SIM0334	72.38674485	1	0.028936	0.0871333	-0.0102802	-0.0348863	0.0714405
SIM0335	58.59366367	0	-0.040509	-0.00975077	0.0262983	-0.0208235	-0.0736374
SIM0336	59.57540489	0	0.0455237	-0.0182946	0.0473745	0.0832906	-0.0830219
SIM0337	42.90916487	1	-0.0386099	0.0257651	0.0665226	-0.0410734	-0.0198186
SIM0338	51.30406927	0	0.0320301	0.00576587	0.102778	0.00580005	-0.0112779
SIM0339	60.82214117	0	-0.0413421	0.0348064	-0.0458011	-0.0290994	-0.0233141
SIM0340	32.97916398	0	0.0334389	-0.0256602	0.0469754	-0.0252842	-0.070915
SIM0341	43.77318451	0	-0.0382554	-0.0159293	-0.0487554	0.0295687	0.0294926
SIM0342	74.13241964	1	0.0336119	-0.0108951	-0.0252532	-0.0501111	0.0238977
SIM0343	60.27824837	1	-0.0438451	0.0181619	-0.0342276	-0.039116	0.0384652
SIM0344	71.47575728	1	0.0424896	-0.0899569	0.0475137	0.0446659	0.10577
SIM0345	68.70878885	1	-0.0449803	0.078886	0.0522095	0.0131779	-0.0169847
SIM0346	62.64033867	0	0.039316	0.0107439	-0.0535701	0.0481209	0.0193032
SIM0347	45.64889636	1	-0.0414053	0.0382533	-0.0595635	0.0397705	0.00781228
SIM0348	37.83754179	0	0.0336514	0.0527881	-0.0231603	0.0156149	0.0481582
SIM0349	55.97508695	1	-0.0361045	0.0465164	-0.0283577	-0.0230543	0.0504228
SIM0350	50.19898024	1	0.042521	-0.00436601	0.0287153	-0.0355313	-0.0503103
SIM0351	37.76528366	1	-0.0388948	0.0434599	-0.00286685	-0.0424931	0.0453348
SIM0352	34.32463499	0	0.035151	0.0347374	-0.0120632	0.0796397	0.0897325
SIM0353	29.15841371	0	-0.0456813	-0.0642654	0.00533271	0.030593	-0.0349552
SIM0354	66.21623429	0	0.0339409	-0.0967773	0.00311314	-0.0549875	0.0221137
SIM0355	55.40991351	1	-0.0397372	-0.000929555	0.0247759	0.0197352	0.00218986
SIM0356	47.08425575	0	0.0453416	0.014764	-0.0670066	0.0183454	-0.000316865
SIM0357	28.32063264	1	-0.0420987	-0.00832205	0.0233052	-0.0543027	-0.0038352
SIM0358	67.17907116	0	0.0435156	0.00863539	-0.0208641	-0.0332528	0.0753138
SIM0359	42.63621358	0	-0.0432829	-0.0508453	0.0189736	-0.0119529	-0.0215036
SIM0360	56.71995049	1	0.0437387	-0.0127056	0.0296029	-0.0196119	-0.0163858
SIM0361	33.65216737	1	-0.0424023	-0.0139218	-0.0545767	-0.0393456	-0.0363924
SIM0362	49.40755868	0	0.037075	-0.0487122	0.0422013	-0.0151454	0.0221476
SIM0363	56.97849059	1	-0.036318	-0.007242	-0.0316792	-0.0565939	-0.0306684
SIM0364	26.07637968	0	0.0320796	0.0613772	-0.0652392	0.0924448	0.0102375
SIM0365	38.76886745	1	-0.0412569	-0.0260964	0.0192602	0.0319527	0.00217148
SIM0366	39.37860579	0	0.045264	-0.0515122	-0.051335	-0.0303072	0.0505915
SIM0367	31.22307612	1	-0.0455451	-0.000834659	-0.0102227	0.0407989	0.0119004
SIM0368	36.71796583	1	0.0413622	0.0294017	0.0075947	-0.00553002	0.0331731
SIM0369	34.79514657	0	-0.039643	-0.0158749	-0.0476082	-0.0152705	0.0250488
SIM0370	31.94813957	0	0.0346988	-0.0215853	-0.0188181	-0.0881885	0.0165826
SIM0371	48.92104559	0	-0.0407386	0.0591646	-0.0344482	0.000425166	0.0249226
SIM0372	42.11341043	0	0.0431898	0.038264	-0.0630418	0.0160375	-0.0330818
SIM0373	33.71367247	0	-0.0415445	0.00201229	0.0339069	0.0248193	0.00288823
SIM0374	50.83823404	1	0.0379014	0.0961954	-0.00710688	-0.0123764	-0.0287409
SIM0375	48.23415467	1	-0.0349789	-0.0116529	-0.0211102	0.0443488	-0.0720631
SIM0376	73.75635452	0	0.0439463	-0.0430535	0.0478576	0.0680828	-0.0237266
SIM0377	36.83684399	1	-0.0427975	-0.0173479	-0.0502459	-0.000931762	0.0594887
SIM0378	25.49384997	1	0.0425303	-0.0153072	-0.0271526	0.00396935	-0.0200893
SIM0379	63.05675565	0	-0.0372164	0.0333627	0.0458885	-0.00248895	0.0307914
SIM0380	28.18500149	0	0.0347955	0.0101005	-0.0253976	-0.0330491	0.00258532
SIM0381	54.81134015	1	-0.040155	0.0563073	-0.0231721	-0.00559139	-0.0253509
SIM0382	26.04358240	0	0.037213	0.054301	0.00826446	-0.0377277	0.00139276
SIM0383	36.70789889	1	-0.0382232	-0.0703529	0.0203381	-0.0115174	-0.0175284
SIM0384	69.10100019	1	0.0368471	0.0307789	0.00187238	0.03221	-0.0124513
SIM0385	65.78472905	1	-0.0358393	-0.0201841	0.0159458	-0.00613353	-0.0384262
SIM0386	36.07426131	0	0.0443718	-0.0327097	-0.0572854	0.0140086	-0.0195888
SIM0387	33.03411657	1	-0.0376357	-0.00668983	0.0390589	-0.0300709	-0.0153214
SIM0388	46.89715823	0	0.0469105	-0.0192023	-0.0180863	-0.0315465	-0.00472054
SIM0389	63.49048735	0	-0.0446619	0.0413977	-0.00949831	-0.0175732	-0.00575946
SIM0390	53.34396785	1	0.039087	-0.0218218	0.0122987	0.0147412	-0.0114092
SIM0391	35.29219622	1	-0.0375084	0.0202384	0.0150355	0.0505233	-0.00145746
SIM0392	56.86359623	1	0.036581	-0.0250534	-0.0229094	-0.0152861	-0.0791666
SIM0393	31.79048994	1	-0.0433357	0.0321302	-0.000557759	0.0207964	-0.00241486
SIM0394	68.35150835	1	0.0347882	0.0360572	-0.0192121	0.0135894	0.0179133
SIM0395	69.52189816	0	-0.039974	-0.0449164	0.0039631	-0.0544131	-0.0661088
SIM0396	33.88480079	1	0.0432006	-0.0183909	0.00295044	0.098222	0.0433915
SIM0397	42.11344434	1	-0.0434726	0.052739	0.0218544	0.00288852	0.0132382
SIM0398	33.60802674	1	0.0386792	0.0545093	-0.049404	-0.0294432	-0.0758308
SIM0399	45.04144243	0	-0.0465028	-0.00260286	-0.00530666	0.0236373	0.000352359
SIM0400	70.79831452	0	0.0358718	0.0284672	0.0423621	0.0539657	0.0622814
SIM0401	30.73581387	1	-0.0416266	0.0492412	-0.0327637	0.00846935	-0.0239867
SIM0402	30.84937760	0	0.0373813	0.031491	0.0237793	0.0516861	0.0289248
SIM0403	46.08790652	1	-0.0407285	-0.017698	-0.0483032	-0.00390281	0.0189647
SIM0404	30.08832728	1	0.0440782	0.0507998	0.0473995	0.0895614	0.0126545
SIM0405	50.46602371	1	-0.0428352	0.0116102	-0.0213093	-0.00675405	-0.0299599
SIM0406	70.37544123	0	0.0305951	0.00749611	-0.0800043	0.0222431	0.0897812
SIM0407	31.95593561	0	-0.0425973	0.0380342	-0.0385964	0.0464725	0.0298149
SIM0408	59.70805567	1	0.0491387	0.0162934	-0.0933733	0.0368495	0.00383711
SIM0409	47.26129125	1	-0.0513677	-0.0448998	0.0482702	0.0162304	-0.00821353
SIM0410	34.40763965	1	0.0503328	0.0320861	-0.0608692	-0.0843493	-0.0283938
SIM0411	46.51588294	0	-0.0370753	-0.00855511	-0.0835234	-0.0132673	0.011026
SIM0412	57.04337205	0	0.0424876	0.0452236	-0.0665336	0.0723264	0.0810834
SIM0413	57.09228505	1	-0.0433958	-0.0335655	-0.046721	-0.000317361	0.052226
SIM0414	47.96133420	0	0.0432513	0.0234373	0.0731696	0.016505	0.0185602
SIM0415	71.70124077	1	-0.037354	0.00514845	0.0127362	0.0198774	-0.0239374
SIM0416	28.57072471	1	0.0410779	-0.0452888	0.0178591	0.0412053	-0.0600343
SIM0417	35.59186972	0	-0.0369177	0.0214484	0.02078	0.0378201	-0.00373995
SIM0418	27.97589281	0	0.0414815	0.043353	0.020873	-0.0142338	0.0213047
SIM0419	70.63054423	1	-0.0398862	-0.0204591	0.0224649	-0.00960344	-0.00454715
SIM0420	74.42620663	1	0.0453904	-0.017647	0.0392447	0.0233114	0.0555095
SIM0421	74.32655432	1	-0.0387597	0.0364583	0.00629468	-0.0427146	-0.00735016
SIM0422	53.37956461	0	0.0288819	-0.00614946	0.036651	0.023646	0.0205593
SIM0423	47.81894473	1	-0.0352299	-0.0700242	0.0292682	0.0757397	-0.0602255
SIM0424	67.22847551	0	0.0385334	-0.0414717	-0.00937516	0.0502956	0.0179587
SIM0425	52.28526291	1	-0.0412118	-0.0166041	-0.0650366	-0.0566029	0.00883876
SIM0426	66.67916283	0	0.041017	-0.0103138	0.0332713	-0.00956462	-0.00656461
SIM0427	45.93526184	1	-0.0460824	-0.0164468	-0.0422911	0.00724431	0.0274208
SIM0428	63.51502463	1	0.0388481	-0.0217782	-0.0674553	-0.033687	-0.0561794
SIM0429	39.41594313	1	-0.0385699	-0.00277511	-0.0174563	-0.0186174	0.00907633
SIM0430	60.54245979	1	0.0461917	0.0256496	-0.0306652	0.0159058	-0.115358
SIM0431	49.50123782	0	-0.0387396	-0.0213125	-0.00639808	0.0688288	-0.0133371
SIM0432	40.51594758	0	0.044955	-0.0866773	0.0484428	0.0128931	-0.0266116
SIM0433	49.90012740	1	-0.0383933	-0.0168517	0.0136787	-0.00815528	0.0346023
SIM0434	64.92318867	0	0.0336626	-0.00163354	-0.0197189	0.0197404	0.0164069
SIM0435	54.49415975	1	-0.0390114	-0.0137724	-0.00434031	0.0050379	0.0432308
SIM0436	36.98888753	1	0.0403585	0.0491861	0.0293148	0.0169383	-0.013675
SIM0437	40.63472445	0	-0.0392709	-0.0199058	0.0315798	-0.00266305	-0.0729256
SIM0438	44.32930637	1	0.0408099	0.0574763	0.0515229	0.0121979	-0.0261052
SIM0439	47.33564973	0	-0.041468	0.00547021	-0.0263184	-0.0170107	0.0114495
SIM0440	55.66594120	1	0.0459361	0.00398076	-0.0038447	0.0433417	-0.00443611
SIM0441	29.03473313	0	-0.0391377	0.0666818	0.0578681	-0.0039607	0.0320588
SIM0442	69.53835785	0	0.0484382	-0.0431122	0.0696243	-0.0430293	-0.0878464
SIM0443	44.25074054	0	-0.0421658	-0.0357523	0.0080861	0.0256995	-0.0202799
SIM0444	61.81525194	0	0.0401928	-0.00538647	-0.00889916	0.0285664	-0.0617006
SIM0445	32.46550853	1	-0.0397159	0.0143516	0.00698483	0.0383802	0.00220128
SIM0446	56.71814516	0	0.0402262	0.109707	0.0319282	-0.00644829	0.000835356
SIM0447	62.19834072	0	-0.0374183	-0.0260846	-0.0060494	-0.0313722	-0.0782376
SIM0448	63.82455947	1	0.0417062	-0.0323666	0.0585148	0.0382875	0.0414517
SIM0449	46.37701826	1	-0.0367166	-0.00302384	0.021943	-0.0448068	0.027304
SIM0450	74.18110003	0	0.0392252	-0.0264871	0.0444801	-0.0557461	-0.0242873
SIM0451	41.26869215	0	-0.0458365	0.0142299	0.00891761	0.0118204	-0.015436
SIM0452	44.11231378	1	0.0286983	-0.0424907	0.00974785	0.0420128	-0.0418099
SIM0453	30.05115308	0	-0.0356125	-0.0220613	0.0519345	0.0909388	0.00539913
SIM0454	44.27880503	0	0.0459459	0.0713562	-0.00216557	-0.0870194	-0.00926941
SIM0455	74.08892502	0	-0.0415887	0.0495912	0.000475204	-0.0148279	0.0409668
SIM0456	66.34792834	0	0.0418009	0.00298641	-0.0486591	-0.0453644	-0.00244663
SIM0457	25.85886419	0	-0.0465661	0.0132865	0.0521274	-0.00018559	0.0215541
SIM0458	74.01173614	0	0.0506179	0.0328404	-0.0203835	0.0157318	0.128966
SIM0459	39.69223328	1	-0.044814	0.0435912	-0.0199531	-0.0217599	0.0106718
SIM0460	72.04693896	0	0.0327773	-0.0415131	-0.0260753	0.069408	0.0140953
SIM0461	42.19253407	0	-0.0376274	-0.0358798	0.00348529	0.015772	-0.0171854
SIM0462	36.29539411	0	0.0450709	0.0058453	0.0516302	-0.033665	0.0237512
SIM0463	54.59173985	1	-0.0465449	0.049381	-0.0212367	0.0615359	0.0221152
SIM0464	39.03267395	0	0.0365768	-0.0451291	0.0396233	-0.0310355	0.0509373
SIM0465	50.92415421	1	-0.0356861	0.0688503	-0.0114437	0.0371743	0.0127416
SIM0466	59.83311386	0	0.0391294	-0.0400717	0.0198885	-0.0204469	0.081134
SIM0467	34.06658497	1	-0.0439497	0.0210023	-0.0234152	0.0198323	-0.0132055
SIM0468	35.86187427	1	0.045503	0.0154948	0.00923728	-0.0245619	0.0542543
SIM0469	70.38163671	0	-0.0403116	-0.0264796	-0.0729524	-0.00872716	0.0110252
SIM0470	65.80008019	0	0.0413962	-0.0158327	-0.00626415	-0.00195379	-0.0440464
SIM0471	27.70560089	1	-0.044623	-0.00219288	-0.0542162	-0.00830141	-0.040508
SIM0472	62.78571048	0	0.0405565	-0.0225379	0.0268982	0.0131037	-0.0411722
SIM0473	69.30784993	0	-0.0389319	0.0294545	0.0386625	0.0155054	-0.0303478
SIM0474	28.07786194	1	0.0422012	-0.0522152	0.117683	-0.00993083	-0.0380001
SIM0475	41.95443839	1	-0.0421842	-0.0589849	-0.011882	0.0944036	-0.0239913
SIM0476	26.56225274	0	0.0453778	-0.0645512	0.0451875	0.0654455	0.0515963
SIM0477	42.64444271	1	-0.0420502	0.0405465	0.0187222	0.0414728	-0.0868732
SIM0478	25.60479333	0	0.0405081	-0.0355427	0.0889178	0.0141804	-0.0244804
SIM0479	69.39356267	1	-0.04404	-0.0438157	0.0445896	-0.0118117	0.0169114
SIM0480	52.70305607	0	0.0385482	0.00436928	-0.0279755	0.0258116	0.0418769
SIM0481	53.55229277	0	-0.041791	-0.0214303	-0.0362899	0.0369656	-0.055884
SIM0482	69.16348433	0	0.0467311	0.0584271	0.0315448	-0.0450986	-0.110417
SIM0483	58.62794468	0	-0.0384492	-0.0173003	0.0176743	-0.0541541	0.00908601
SIM0484	53.67486659	0	0.0369015	0.0086553	0.0217682	-0.0382923	-0.037495
SIM0485	70.54304954	1	-0.0429741	0.0193296	-0.0596322	0.014487	-0.0427957
SIM0486	27.81968762	1	0.0344864	0.0300607	-0.0583797	-0.041887	-0.0986611
SIM0487	73.13503277	0	-0.0351886	0.037224	0.0295378	-0.0394143	0.0312807
SIM0488	33.64032448	0	0.0356982	0.0285631	-0.0306675	0.042003	0.125585
SIM0489	47.75263860	1	-0.0476001	-0.00497346	0.0440642	-0.0214799	-0.000896678
SIM0490	43.30281536	1	0.0423023	0.0161646	-0.0249476	0.0295373	0.0154302
SIM0491	52.41551674	0	-0.0396443	-0.00684805	-0.018107	-0.00930307	0.0179815
SIM0492	36.00163189	0	0.0440616	-0.0246964	-0.0575015	0.114711	0.0453336
SIM0493	44.46696873	0	-0.043401	0.0186863	0.0144479	-0.0369384	0.0321953
SIM0494	45.92599924	0	0.0392795	-0.0266979	-0.0237086	0.0682964	-0.0440744
SIM0495	31.94472898	1	-0.041901	0.0179336	0.0195589	-0.035644	0.00230975
SIM0496	41.54966946	1	0.0388861	0.0859426	0.125514	0.00115012	0.00819036
SIM0497	44.12129438	0	-0.0416178	0.01702	0.0488542	0.0362025	-0.0158577
SIM0498	52.13980766	0	0.0385892	0.0179666	-0.0425481	0.0447663	0.0144407
SIM0499	49.18952552	1	-0.0426569	0.0016769	-0.0402187	0.0408517	0.045823
SIM0500	38.88639039	1	0.0383045	-0.0486055	-0.0234266	0.0532594	-0.0309887
SIM0501	63.40316169	0	-0.0360175	0.0376219	-0.0117588	0.0093833	0.0105234
SIM0502	57.06475601	1	0.0323358	-0.0135275	-0.0227343	0.0078923	0.0275448
SIM0503	72.84867913	1	-0.038772	0.0283766	-0.00491533	0.0390081	0.0665901
SIM0504	67.29332720	0	0.0430223	0.0447074	0.00425986	-0.0222993	0.0199566
SIM0505	66.73084124	0	-0.0472338	0.0104905	-0.0159556	0.0312175	0.00551728
SIM0506	41.36997476	0	0.0458794	-0.0411736	-0.0492001	-0.0760751	0.0498217
SIM0507	27.40643905	0	-0.0440636	0.0271848	-0.000350751	-0.0110995	-0.0300367
SIM0508	69.34109760	1	0.0411478	-0.00979077	-0.0157187	0.0592152	0.0131124
SIM0509	43.11665949	0	-0.0426076	-0.0297243	0.00614369	-0.038225	-0.0562626
SIM0510	65.73417177	1	0.0353228	0.00705164	-0.0609357	0.0275484	-0.0586705
SIM0511	42.98003421	1	-0.0398809	-0.0375998	0.0340585	-0.0671353	0.0298264
SIM0512	69.33403563	1	0.0335028	-0.0489192	0.0928562	-0.064945	-0.0130756
SIM0513	58.85375472	1	-0.0400853	-0.012089	-0.0321481	0.0114512	-0.0359266
SIM0514	67.02855650	1	0.0388027	-0.0919691	0.0032575	-0.0732741	-0.0589778
SIM0515	60.74554161	1	-0.0429819	-0.0536625	-0.0759145	-0.0488883	-0.0164457
SIM0516	57.23200062	0	0.0385213	-0.00468228	-0.0430838	-0.0535727	0.0434636
SIM0517	71.90480105	1	-0.0416798	0.0556629	0.0261401	-0.0424618	0.029069
SIM0518	26.79393814	1	0.0343428	-0.0710734	-0.0169324	-0.0239896	0.0223775
SIM0519	56.16703234	0	-0.0455964	-0.0183894	-0.0183924	0.0417087	0.0375625
SIM0520	38.74228777	1	0.0407007	0.0289269	0.105122	-0.0195716	0.044533
SIM0521	27.34201736	0	-0.0355184	-0.052641	-0.0320745	-0.0350173	0.0380158
SIM0522	27.58155694	1	0.0375542	-0.0140027	-0.0526024	0.0204469	0.0195778
SIM0523	30.11160219	1	-0.0381654	-0.00680579	0.0553164	0.0124474	0.0147059
SIM0524	55.87978848	0	0.0405004	0.00165698	-0.024046	0.0219403	-0.0454917
SIM0525	60.86475510	1	-0.0377305	0.0425861	-0.0122736	0.00425448	-0.0531619
SIM0526	40.29778175	0	0.049052	0.0436478	0.0423123	0.0630935	-0.0595519
SIM0527	70.44600942	0	-0.0416042	-0.0296246	-0.0012928	0.0524819	-0.0151461
SIM0528	57.93134314	1	0.040795	0.0324176	0.0105145	0.0210228	-0.049854
SIM0529	41.66391232	1	-0.042448	-0.0421615	-0.0127131	0.030177	-0.000830709
SIM0530	33.97826198	0	0.0406495	0.0129076	-0.0826475	-0.00521297	0.0103956
SIM0531	43.93052233	1	-0.0409542	-0.0319959	-0.029404	-0.0262502	0.0155991
SIM0532	26.71476047	0	0.0340457	0.0550844	-0.0672108	-0.020518	0.00513159
SIM0533	30.36711922	1	-0.038956	-0.019006	0.028118	0.0182902	0.00262799
SIM0534	50.86659015	1	0.0403678	-0.00759564	-0.0676849	-0.00411645	-0.0247863
SIM0535	47.02603026	1	-0.0424868	-0.0274087	0.000346932	-0.00337359	0.0461639
SIM0536	57.39964114	1	0.0404742	0.0421218	-0.00119476	-0.0148945	0.00315519
SIM0537	49.64923537	1	-0.0357785	-0.0530966	0.00274503	-0.0116949	0.0120093
SIM0538	47.58947523	0	0.0384613	0.023058	0.0306874	0.0542617	0.0381395
SIM0539	50.83827823	1	-0.0425889	-0.0443434	-0.00156429	0.00106191	-0.0225276
SIM0540	25.53907016	1	0.0422896	-0.0190643	-0.0669813	-0.00709547	-0.0562266
SIM0541	64.72964818	1	-0.041296	0.0474442	0.0325249	-0.0203925	0.0274438
SIM0542	55.65857290	1	0.0445753	0.00200873	0.0625881	-0.0412963	-0.0366526
SIM0543	63.79317608	0	-0.0443882	-0.017518	-0.0167122	0.00578387	-0.0132823
SIM0544	40.09233449	0	0.0384324	0.00877372	-0.0218927	-0.0151375	0.00390136
SIM0545	62.03110342	0	-0.0399298	-0.0224978	0.0316279	-0.00270719	-0.0825296
SIM0546	62.70649855	0	0.0420238	-0.00734983	0.0379603	-0.0162678	0.0619758
SIM0547	66.09805877	0	-0.0403594	-0.0465109	0.00467155	0.0143335	0.0242588
SIM0548	72.40266310	0	0.0389368	-0.0320376	-0.0233599	0.116559	-0.0492122
SIM0549	30.43846296	1	-0.0382069	-0.0151978	0.0238698	0.0084011	-0.0007099
SIM0550	52.51837353	1	0.0382461	-0.0769056	0.0902585	-0.0500718	-0.00402215
SIM0551	45.52130750	0	-0.044433	0.0124324	0.0227784	0.000242522	-0.034062
SIM0552	31.89821210	1	0.0376836	-0.0580187	0.0171521	0.00698152	-0.0182307
SIM0553	52.06401501	0	-0.0383302	-0.0109046	0.0179953	-0.0357397	0.0465668
SIM0554	31.94790739	1	0.0409215	0.00633502	-0.0463585	-0.00896805	-0.0788145
SIM0555	63.75975643	0	-0.0429087	0.0417113	-0.0625297	0.0402786	-0.0156095
SIM0556	69.65058186	1	0.0371839	-0.0687101	-0.00419424	0.0191287	0.059155
SIM0557	70.51969855	0	-0.0442965	-0.0120944	0.041758	-0.0133946	-0.0569909
SIM0558	56.39540411	1	0.0411871	0.0374201	-0.00706806	0.0282224	-0.0195315
SIM0559	54.02022021	1	-0.0403781	0.0276792	-0.00682602	0.0386067	-0.0383662
SIM0560	54.00028538	0	0.0453819	0.0371907	-0.013641	-0.0509706	0.00920945
SIM0561	69.10381790	0	-0.039414	-0.019383	0.00558704	0.0026167	-0.0664922
SIM0562	35.11418767	1	0.0420741	-0.0477748	-0.00905305	0.0825011	0.0146572
SIM0563	70.76738107	0	-0.039936	-0.0275491	0.00406073	0.00420411	0.052501
SIM0564	33.13624630	1	0.0370469	0.0556936	-0.0744011	-0.0470373	0.00258255
SIM0565	25.00683935	1	-0.0414328	-0.0316745	-0.081069	0.0169898	0.0781931
SIM0566	36.83816599	1	0.0476545	-0.0549942	0.0557039	-0.0411179	0.010464
SIM0567	64.10159404	0	-0.0384287	-0.0278242	-0.0282878	0.0152515	0.0519208
SIM0568	43.92786289	0	0.0396679	-0.0506366	0.0235426	0.0108402	0.0589364
SIM0569	31.42122985	1	-0.0473916	0.00403559	-0.00261029	0.0134038	0.033413
SIM0570	65.72685311	1	0.0353258	-0.0212441	0.0414386	-0.0196341	0.0364653
SIM0571	53.33671231	0	-0.0387972	0.0430675	0.0463132	-0.0794861	-0.00136129
SIM0572	49.14112483	0	0.0385659	-0.0166819	-0.0476195	-0.0200812	-0.0160717
SIM0573	53.76305308	1	-0.0397831	0.00373595	-0.02125	0.0151818	-0.0227533
SIM0574	66.99847423	0	0.035589	-0.00715071	0.0514586	0.0833795	0.0639603
SIM0575	44.06141603	0	-0.0402699	0.0153093	0.00992112	0.0345385	0.00587441
SIM0576	72.63109959	0	0.041737	0.0350782	-0.0603349	-0.0559405	-0.0596417
SIM0577	59.70170590	0	-0.0374981	0.00463906	-0.0360865	-0.0360682	-0.0352792
SIM0578	53.43651320	1	0.0479001	0.0265298	-0.130055	0.00143791	0.0148989
SIM0579	45.55281782	0	-0.0313816	-0.00590467	-0.0374296	-0.00508707	-0.0202215
SIM0580	74.16918810	0	0.038334	0.105906	-0.0734186	-0.0339134	0.0655334
SIM0581	33.21048494	1	-0.046764	0.0224158	-0.0406671	0.0198813	-0.0239302
SIM0582	63.35170260	0	0.0400228	-0.018838	0.0151802	-0.00887164	0.040241
SIM0583	40.12804162	1	-0.038424	-0.0445394	-0.0613042	0.0282579	-0.0193614
SIM0584	68.94124164	1	0.0420654	-0.0180733	-0.0285532	0.0231891	-0.0141757
SIM0585	29.05177205	0	-0.044313	-0.014284	-0.0263326	-0.0183479	0.0300069
SIM0586	67.65066569	0	0.0479585	-0.00848301	0.0417623	0.0511128	-0.0137445
SIM0587	40.50066239	1	-0.039628	0.0148554	0.00291184	-0.0146501	0.0413277
SIM0588	34.67417818	1	0.0469626	0.0049471	-0.00831703	0.0382196	0.0114624
SIM0589	51.38230075	0	-0.0468758	0.00293243	-0.0351935	0.0005875	-0.0345435
SIM0590	59.41777529	0	0.0358124	-0.0130641	0.0248505	0.049268	0.0447746
SIM0591	60.79377969	0	-0.0465705	-0.031038	-0.0638812	0.0788077	0.0253169
SIM0592	27.88684102	0	0.0405093	0.0260229	0.0627744	0.0253911	0.00591657
SIM0593	35.82535664	1	-0.0349788	0.0210161	-0.063021	-0.00622275	-0.0176988
SIM0594	58.31473039	0	0.0372949	0.035246	-0.0762919	-0.00334906	-0.0458604
SIM0595	52.35715440	1	-0.0408625	0.00886655	-0.00490084	0.0345141	0.019683
SIM0596	63.41013456	0	0.039442	-0.00261398	-0.0236681	-0.0420432	-0.0567022
SIM0597	28.01282375	1	-0.0426585	0.00888504	0.015565	0.00169568	0.0232557
SIM0598	35.25814822	1	0.0426883	-0.0445402	-0.0863331	-0.045123	-0.0562736
SIM0599	72.16275257	1	-0.0450691	-0.0328384	0.0477274	0.00813599	0.0143102
SIM0600	70.40575023	0	0.0449791	0.0213615	-0.0482053	0.0524949	-0.0793137
